SrcId,Rank,StartTime,LastTime,Trans,Flgs,Seq,Dur,RunTime,IdleTime,Mean,StdDev,Sum,Min,Max,SrcMac,DstMac,SrcOui,DstOui,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sCo,dCo,sTtl,dTtl,sHops,dHops,sIpId,dIpId,sMpls,dMpls,AutoId,sAS,dAS,iAS,Cause,NStrok,sNStrok,dNStrok,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,TotAppByte,SAppBytes,DAppBytes,PCRatio,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Retrans,SrcRetra,DstRetra,pRetran,SrcGap,DstGap,Rate,SrcRate,DstRate,Dir,SIntPkt,SIntDist,SIntPktAct,SIntActDist,SIntPktIdl,SIntIdlDist,DIntPkt,DIntDist,DIntPktAct,DIntActDist,DIntPktIdl,DIntIdlDist,SrcJitter,SrcJitAct,DstJitter,DstJitAct,State,Label,srcUdata,dstUdata,SrcWin,DstWin,sVlan,dVlan,sVid,dVid,sVpri,dVpri,SRange,ERange,SrcTCPBase,DstTCPBase,TcpRtt,SynAck,AckDat,TcpOpt,Inode,Offset,sMeanPktSz,dMeanPktSz,sPktSz,sMaxPktSz,dPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,dMinPktSz
0.0.0.0,,16:12:39.674446,16:12:39.674009,,          ,0,0.000437,,,,,,,,,,,,0,0,man,0,0,,,,,,,,,,,,,,,0,,,,Start,,,,0,0,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,STA,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,,,,,,,
0.0.0.0,1,11:56:47.842634,11:56:47.842634,0,          ,1,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,::,ff02::16,ipv6-icmp,0x008f,0x0000,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,MHR,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,128,0.000000,0.000000,,,,,,,
0.0.0.0,2,11:56:48.642642,11:56:48.642642,1, e        ,2,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,::,ff02::1:ff72:b07e,ipv6-icmp,0x0087,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Start,,,,1,1,0,86,86,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NNS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,264,86.000000,0.000000,,,,,,,
0.0.0.0,3,11:56:48.802632,11:56:48.802632,1, e        ,3,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,::,ff02::1:ffcc:d51c,ipv6-icmp,0x0087,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Start,,,,1,1,0,86,86,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NNS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,392,86.000000,0.000000,,,,,,,
0.0.0.0,4,11:56:49.662724,11:56:49.662724,0,          ,4,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,fe80::4c3:23ff:fe72:b07e,ff02::16,ipv6-icmp,0x008f,0x0000,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,MHR,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,520,0.000000,0.000000,,,,,,,
0.0.0.0,5,11:56:49.662785,11:56:49.662785,0,          ,5,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,fe80::4c3:23ff:fe72:b07e,ff02::2,ipv6-icmp,0x0085,0x0000,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,656,0.000000,0.000000,,,,,,,
0.0.0.0,6,11:56:49.822766,11:56:49.822766,0,          ,6,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,fe80::88b8:9dff:fecc:d51c,ff02::16,ipv6-icmp,0x008f,0x0000,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,MHR,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,792,0.000000,0.000000,,,,,,,
0.0.0.0,7,11:56:49.822841,11:56:49.822841,0,          ,7,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,fe80::88b8:9dff:fecc:d51c,ff02::2,ipv6-icmp,0x0085,0x0000,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,928,0.000000,0.000000,,,,,,,
0.0.0.0,8,11:57:01.282729,11:57:01.282729,1, e        ,5,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::4c3:23ff:fe72:b07e,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Status,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,1064,70.000000,0.000000,,,,,,,
0.0.0.0,9,11:57:01.534801,11:57:01.534801,1, e        ,7,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::88b8:9dff:fecc:d51c,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Status,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,1192,70.000000,0.000000,,,,,,,
0.0.0.0,10,11:57:02.433826,11:57:02.433826,0,          ,8,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,101.0.0.1,101.0.0.1,arp,,,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,1320,0.000000,0.000000,,,,,,,
0.0.0.0,11,11:57:02.525294,11:57:02.525294,0,          ,9,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,01:00:0c:cc:cc:cc,ca:03:b7:32:00:00,llc,snap,snap,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,STA,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,1604,0.000000,0.000000,,,,,,,
0.0.0.0,12,11:57:02.525342,11:57:02.525342,1, e        ,10,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,ab:00:00:02:00:00,ca:03:b7:32:00:00,decrc,,,,,,,,,,,,,,,,,0,,,,Start,,,,1,1,0,77,77,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,1684,77.000000,0.000000,,,,,,,
0.0.0.0,13,11:57:16.382692,11:57:16.382692,1, e        ,5,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::4c3:23ff:fe72:b07e,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Status,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,1756,70.000000,0.000000,,,,,,,
0.0.0.0,14,11:57:17.410769,11:57:17.410769,1, e        ,7,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::88b8:9dff:fecc:d51c,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Status,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,1884,70.000000,0.000000,,,,,,,
0.0.0.0,15,11:57:47.874744,11:57:47.874744,1, e        ,5,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::4c3:23ff:fe72:b07e,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Status,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2012,70.000000,0.000000,,,,,,,
0.0.0.0,16,11:57:51.966728,11:57:51.966728,1, e        ,7,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::88b8:9dff:fecc:d51c,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Status,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2140,70.000000,0.000000,,,,,,,
0.0.0.0,17,11:58:11.599598,11:58:11.599598,1, e        ,11,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,101.0.0.1,101.0.0.10,arp,,,,,,,,,,,,,,,,,0,,,,Start,,,,2,1,1,102,60,42,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,  who,,,,,,,,,,,,,,,,,CON,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2268,60.000000,42.000000,,,,,,,
0.0.0.0,18,11:58:11.609882,11:58:11.609882,1, e        ,12,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.10,101.0.0.10,tcp,60232,http,0,0,cs0,cs0,,,62,64,2,0,0x622c,0xd506,,,0,,,,Start,,,,10,6,4,1242,559,683,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,FIN,,,,64128,65024,,,,,,,,,4116115987,4291484077,0.030266,0.000146,0.030120,Mws   T,,2524,93.166664,170.750000,,,,,,,
0.0.0.0,19,11:58:16.798856,11:58:16.798856,1, e        ,13,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,101.0.0.10,101.0.0.1,arp,,,,,,,,,,,,,,,,,0,,,,Start,,,,2,1,1,102,42,60,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,  who,,,,,,,,,,,,,,,,,CON,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2736,42.000000,60.000000,,,,,,,
0.0.0.0,20,11:58:24.839066,11:58:24.839066,1, *        ,14,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,01:00:0c:cc:cc:cc,ca:03:b7:32:00:00,llc,snap,snap,,,,,,,,,,,,,,,0,,,,Start,,,,1,1,0,374,374,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2992,374.000000,0.000000,,,,,,,
0.0.0.0,21,11:58:49.310688,11:58:49.310688,1, e        ,15,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::4c3:23ff:fe72:b07e,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Start,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3064,70.000000,0.000000,,,,,,,
0.0.0.0,22,11:58:55.454736,11:58:55.454736,1, e        ,16,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::88b8:9dff:fecc:d51c,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Start,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3192,70.000000,0.000000,,,,,,,
0.0.0.0,23,11:59:46.305867,11:59:46.305867,1, *        ,14,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,01:00:0c:cc:cc:cc,ca:03:b7:32:00:00,llc,snap,snap,,,,,,,,,,,,,,,0,,,,Status,,,,1,1,0,374,374,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,REQ,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3320,374.000000,0.000000,,,,,,,
0.0.0.0,24,12:00:11.768581,12:00:11.768581,0,          ,17,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.10,101.0.0.10,tcp,60992,http,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3392,0.000000,0.000000,,,,,,,
0.0.0.0,25,12:00:16.862756,12:00:16.862756,0,          ,18,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,101.0.0.10,101.0.0.1,arp,,,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3604,0.000000,0.000000,,,,,,,
0.0.0.0,26,12:00:52.190747,12:00:52.190747,1, e        ,19,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::4c3:23ff:fe72:b07e,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Start,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3860,70.000000,0.000000,,,,,,,
0.0.0.0,27,12:00:56.290717,12:00:56.290717,1, e        ,20,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::88b8:9dff:fecc:d51c,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Start,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3988,70.000000,0.000000,,,,,,,
0.0.0.0,28,12:01:07.822722,12:01:07.822722,1, *        ,21,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,01:00:0c:cc:cc:cc,ca:03:b7:32:00:00,llc,snap,snap,,,,,,,,,,,,,,,0,,,,Start,,,,1,1,0,374,374,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4116,374.000000,0.000000,,,,,,,
0.0.0.0,29,12:02:11.924597,12:02:11.924597,0,          ,22,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.10,101.0.0.10,tcp,39138,http,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4188,0.000000,0.000000,,,,,,,
0.0.0.0,30,12:02:29.401913,12:02:29.401913,1, *        ,21,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,01:00:0c:cc:cc:cc,ca:03:b7:32:00:00,llc,snap,snap,,,,,,,,,,,,,,,0,,,,Status,,,,1,1,0,374,374,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,REQ,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4400,374.000000,0.000000,,,,,,,
0.0.0.0,31,12:03:12.013947,12:03:12.013947,1, J g      ,23,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.10,101.0.0.10,tcp,50554,http,0,0,cs0,cs0,,,62,64,2,0,0xbc00,0x8bd6,,,0,,,,Error,,,,0,0,0,0,0,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,16777215,16842751,0.000000,0.000000,0.000000,   ?,,,,,,,,,,,,,,,,,ERR,,,,,,,,,,,,,,1354171057,3780610359,2977.234944,3623.878656,3648.323584,,,4472,0.000000,0.000000,,,,,,,
0.0.0.0,32,12:03:17.086811,12:03:17.086811,1, e        ,24,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,101.0.0.10,101.0.0.1,arp,,,,,,,,,,,,,,,,,0,,,,Start,,,,2,1,1,102,42,60,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,  who,,,,,,,,,,,,,,,,,CON,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4684,42.000000,60.000000,,,,,,,
0.0.0.0,33,12:03:50.877286,12:03:50.877286,1, *        ,21,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,01:00:0c:cc:cc:cc,ca:03:b7:32:00:00,llc,snap,snap,,,,,,,,,,,,,,,0,,,,Status,,,,1,1,0,374,374,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,REQ,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4940,374.000000,0.000000,,,,,,,
0.0.0.0,34,12:04:12.097852,12:04:12.097852,0,          ,25,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.10,101.0.0.10,tcp,52334,http,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5012,0.000000,0.000000,,,,,,,
0.0.0.0,35,12:04:17.250663,12:04:17.250663,0,          ,26,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,101.0.0.10,101.0.0.1,arp,,,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5224,0.000000,0.000000,,,,,,,
0.0.0.0,36,12:05:02.046825,12:05:02.046825,1, e        ,27,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,fe80::4c3:23ff:fe72:b07e,ff02::2,ipv6-icmp,0x0085,0x0000,0,,cs0,,,,255,,1,,0x0000,,,,0,,,,Start,,,,1,1,0,70,70,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5480,70.000000,0.000000,,,,,,,
0.0.0.0,37,12:05:12.165631,12:05:12.165631,0,          ,28,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.10,101.0.0.10,tcp,52708,http,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5608,0.000000,0.000000,,,,,,,
0.0.0.0,38,12:05:12.226554,12:05:12.226554,1, *        ,29,0.000000,0.000000,1669842816.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,01:00:0c:cc:cc:cc,ca:03:b7:32:00:00,llc,snap,snap,,,,,,,,,,,,,,,0,,,,Start,,,,1,1,0,374,374,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5820,374.000000,0.000000,,,,,,,
