frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Nov 30, 2022 11:56:49.390748000 EST",,,,"90"
"2","Nov 30, 2022 11:56:49.790819000 EST",,,,"86"
"3","Nov 30, 2022 11:56:50.302764000 EST",,,,"90"
"4","Nov 30, 2022 11:56:50.814839000 EST",,,,"90"
"5","Nov 30, 2022 11:56:50.814897000 EST",,,,"70"
"6","Nov 30, 2022 11:56:51.774797000 EST",,,,"90"
"7","Nov 30, 2022 11:56:55.134746000 EST",,,,"70"
"8","Nov 30, 2022 11:57:02.484909000 EST",,,,"60"
"9","Nov 30, 2022 11:57:02.495043000 EST",,,,"60"
"10","Nov 30, 2022 11:57:02.576089000 EST",,,,"351"
"11","Nov 30, 2022 11:57:02.576137000 EST",,,,"77"
"12","Nov 30, 2022 11:57:03.071033000 EST",,,,"70"
"13","Nov 30, 2022 11:57:03.857967000 EST",,,,"351"
"14","Nov 30, 2022 11:57:05.086872000 EST",,,,"351"
"15","Nov 30, 2022 11:57:19.198817000 EST",,,,"70"
"16","Nov 30, 2022 11:57:49.918934000 EST",,,,"70"
"17","Nov 30, 2022 11:58:11.244630000 EST",,,,"42"
"18","Nov 30, 2022 11:58:11.248015000 EST",,,,"60"
"19","Nov 30, 2022 11:58:11.248270000 EST","102.0.0.10","172.17.0.10","17","68"
"20","Nov 30, 2022 11:58:11.581441000 EST","172.17.0.10","102.0.0.10","17","84"
"21","Nov 30, 2022 11:58:11.585632000 EST","102.0.0.10","101.0.0.10","6","74"
"22","Nov 30, 2022 11:58:11.621882000 EST","101.0.0.10","102.0.0.10","6","74"
"23","Nov 30, 2022 11:58:11.621972000 EST","102.0.0.10","101.0.0.10","6","66"
"24","Nov 30, 2022 11:58:11.622181000 EST","102.0.0.10","101.0.0.10","6","221"
"25","Nov 30, 2022 11:58:11.652229000 EST","101.0.0.10","102.0.0.10","6","66"
"26","Nov 30, 2022 11:58:11.652260000 EST","101.0.0.10","102.0.0.10","6","477"
"27","Nov 30, 2022 11:58:11.652386000 EST","102.0.0.10","101.0.0.10","6","66"
"28","Nov 30, 2022 11:58:11.653164000 EST","102.0.0.10","101.0.0.10","6","66"
"29","Nov 30, 2022 11:58:11.682650000 EST","101.0.0.10","102.0.0.10","6","66"
"30","Nov 30, 2022 11:58:11.682810000 EST","102.0.0.10","101.0.0.10","6","66"
"31","Nov 30, 2022 11:58:23.914249000 EST",,,,"370"
"32","Nov 30, 2022 11:58:51.358705000 EST",,,,"70"
"33","Nov 30, 2022 11:59:44.671593000 EST",,,,"370"
"34","Nov 30, 2022 12:00:11.750806000 EST","102.0.0.10","101.0.0.10","6","74"
"35","Nov 30, 2022 12:00:11.779614000 EST","101.0.0.10","102.0.0.10","6","74"
"36","Nov 30, 2022 12:00:11.779865000 EST","102.0.0.10","101.0.0.10","6","66"
"37","Nov 30, 2022 12:00:11.779899000 EST","102.0.0.10","101.0.0.10","6","221"
"38","Nov 30, 2022 12:00:11.810065000 EST","101.0.0.10","102.0.0.10","6","66"
"39","Nov 30, 2022 12:00:11.810102000 EST","101.0.0.10","102.0.0.10","6","477"
"40","Nov 30, 2022 12:00:11.810156000 EST","102.0.0.10","101.0.0.10","6","66"
"41","Nov 30, 2022 12:00:11.810978000 EST","102.0.0.10","101.0.0.10","6","66"
"42","Nov 30, 2022 12:00:11.840563000 EST","101.0.0.10","102.0.0.10","6","66"
"43","Nov 30, 2022 12:00:11.840825000 EST","102.0.0.10","101.0.0.10","6","66"
"44","Nov 30, 2022 12:00:16.866757000 EST",,,,"42"
"45","Nov 30, 2022 12:00:16.881391000 EST",,,,"60"
"46","Nov 30, 2022 12:00:54.238857000 EST",,,,"70"
"47","Nov 30, 2022 12:01:05.530031000 EST",,,,"370"
"48","Nov 30, 2022 12:02:11.912161000 EST","102.0.0.10","101.0.0.10","6","74"
"49","Nov 30, 2022 12:02:11.944872000 EST","101.0.0.10","102.0.0.10","6","74"
"50","Nov 30, 2022 12:02:11.945165000 EST","102.0.0.10","101.0.0.10","6","66"
"51","Nov 30, 2022 12:02:11.945205000 EST","102.0.0.10","101.0.0.10","6","222"
"52","Nov 30, 2022 12:02:11.985420000 EST","101.0.0.10","102.0.0.10","6","66"
"53","Nov 30, 2022 12:02:11.985454000 EST","101.0.0.10","102.0.0.10","6","477"
"54","Nov 30, 2022 12:02:11.985607000 EST","102.0.0.10","101.0.0.10","6","66"
"55","Nov 30, 2022 12:02:11.986114000 EST","102.0.0.10","101.0.0.10","6","66"
"56","Nov 30, 2022 12:02:12.015859000 EST","101.0.0.10","102.0.0.10","6","66"
"57","Nov 30, 2022 12:02:12.016136000 EST","102.0.0.10","101.0.0.10","6","66"
"58","Nov 30, 2022 12:02:26.158518000 EST",,,,"370"
"59","Nov 30, 2022 12:03:12.011802000 EST","102.0.0.10","101.0.0.10","6","74"
"60","Nov 30, 2022 12:03:12.033664000 EST","101.0.0.10","102.0.0.10","6","74"
"61","Nov 30, 2022 12:03:12.033835000 EST","102.0.0.10","101.0.0.10","6","66"
"62","Nov 30, 2022 12:03:12.033915000 EST","102.0.0.10","101.0.0.10","6","221"
"63","Nov 30, 2022 12:03:12.064131000 EST","101.0.0.10","102.0.0.10","6","66"
"64","Nov 30, 2022 12:03:12.064166000 EST","101.0.0.10","102.0.0.10","6","477"
"65","Nov 30, 2022 12:03:12.064292000 EST","102.0.0.10","101.0.0.10","6","66"
"66","Nov 30, 2022 12:03:12.064895000 EST","102.0.0.10","101.0.0.10","6","66"
"67","Nov 30, 2022 12:03:12.094875000 EST","101.0.0.10","102.0.0.10","6","66"
"68","Nov 30, 2022 12:03:12.094961000 EST","102.0.0.10","101.0.0.10","6","66"
"69","Nov 30, 2022 12:03:46.837442000 EST",,,,"370"
"70","Nov 30, 2022 12:04:12.085403000 EST","102.0.0.10","101.0.0.10","6","74"
"71","Nov 30, 2022 12:04:12.108590000 EST","101.0.0.10","102.0.0.10","6","74"
"72","Nov 30, 2022 12:04:12.108785000 EST","102.0.0.10","101.0.0.10","6","66"
"73","Nov 30, 2022 12:04:12.108822000 EST","102.0.0.10","101.0.0.10","6","222"
"74","Nov 30, 2022 12:04:12.139155000 EST","101.0.0.10","102.0.0.10","6","66"
"75","Nov 30, 2022 12:04:12.139189000 EST","101.0.0.10","102.0.0.10","6","477"
"76","Nov 30, 2022 12:04:12.139342000 EST","102.0.0.10","101.0.0.10","6","66"
"77","Nov 30, 2022 12:04:12.139898000 EST","102.0.0.10","101.0.0.10","6","66"
"78","Nov 30, 2022 12:04:12.169687000 EST","101.0.0.10","102.0.0.10","6","66"
"79","Nov 30, 2022 12:04:12.169842000 EST","102.0.0.10","101.0.0.10","6","66"
"80","Nov 30, 2022 12:04:17.246772000 EST",,,,"42"
"81","Nov 30, 2022 12:04:17.252699000 EST",,,,"60"
"82","Nov 30, 2022 12:05:07.147994000 EST",,,,"370"
"83","Nov 30, 2022 12:05:12.154188000 EST","102.0.0.10","101.0.0.10","6","74"
"84","Nov 30, 2022 12:05:12.184292000 EST","101.0.0.10","102.0.0.10","6","74"
"85","Nov 30, 2022 12:05:12.184518000 EST","102.0.0.10","101.0.0.10","6","66"
"86","Nov 30, 2022 12:05:12.184555000 EST","102.0.0.10","101.0.0.10","6","221"
"87","Nov 30, 2022 12:05:12.214880000 EST","101.0.0.10","102.0.0.10","6","66"
"88","Nov 30, 2022 12:05:12.214919000 EST","101.0.0.10","102.0.0.10","6","477"
"89","Nov 30, 2022 12:05:12.215152000 EST","102.0.0.10","101.0.0.10","6","66"
"90","Nov 30, 2022 12:05:12.215644000 EST","102.0.0.10","101.0.0.10","6","66"
"91","Nov 30, 2022 12:05:12.245152000 EST","101.0.0.10","102.0.0.10","6","66"
"92","Nov 30, 2022 12:05:12.245279000 EST","102.0.0.10","101.0.0.10","6","66"
"93","Nov 30, 2022 12:05:17.406765000 EST",,,,"42"
"94","Nov 30, 2022 12:05:17.409121000 EST",,,,"60"
"95","Nov 30, 2022 12:05:18.430838000 EST",,,,"70"
"96","Nov 30, 2022 12:06:27.536870000 EST",,,,"370"
"97","Nov 30, 2022 12:07:12.316258000 EST","102.0.0.10","101.0.0.10","6","74"
"98","Nov 30, 2022 12:07:12.338251000 EST","101.0.0.10","102.0.0.10","6","74"
"99","Nov 30, 2022 12:07:12.338412000 EST","102.0.0.10","101.0.0.10","6","66"
"100","Nov 30, 2022 12:07:12.338438000 EST","102.0.0.10","101.0.0.10","6","221"
"101","Nov 30, 2022 12:07:12.368652000 EST","101.0.0.10","102.0.0.10","6","66"
"102","Nov 30, 2022 12:07:12.368709000 EST","101.0.0.10","102.0.0.10","6","477"
"103","Nov 30, 2022 12:07:12.368918000 EST","102.0.0.10","101.0.0.10","6","66"
"104","Nov 30, 2022 12:07:12.369606000 EST","102.0.0.10","101.0.0.10","6","66"
"105","Nov 30, 2022 12:07:12.399236000 EST","101.0.0.10","102.0.0.10","6","66"
"106","Nov 30, 2022 12:07:12.399449000 EST","102.0.0.10","101.0.0.10","6","66"
"107","Nov 30, 2022 12:07:17.470885000 EST",,,,"42"
"108","Nov 30, 2022 12:07:17.481715000 EST",,,,"60"
"109","Nov 30, 2022 12:07:47.904740000 EST",,,,"370"
"110","Nov 30, 2022 12:09:08.761540000 EST",,,,"370"
"111","Nov 30, 2022 12:09:12.471372000 EST","102.0.0.10","101.0.0.10","6","74"
"112","Nov 30, 2022 12:09:12.496898000 EST","101.0.0.10","102.0.0.10","6","74"
"113","Nov 30, 2022 12:09:12.497139000 EST","102.0.0.10","101.0.0.10","6","66"
"114","Nov 30, 2022 12:09:12.497172000 EST","102.0.0.10","101.0.0.10","6","221"
"115","Nov 30, 2022 12:09:12.527458000 EST","101.0.0.10","102.0.0.10","6","66"
"116","Nov 30, 2022 12:09:12.527514000 EST","101.0.0.10","102.0.0.10","6","477"
"117","Nov 30, 2022 12:09:12.527659000 EST","102.0.0.10","101.0.0.10","6","66"
"118","Nov 30, 2022 12:09:12.528216000 EST","102.0.0.10","101.0.0.10","6","66"
"119","Nov 30, 2022 12:09:12.558124000 EST","101.0.0.10","102.0.0.10","6","66"
"120","Nov 30, 2022 12:09:12.558268000 EST","102.0.0.10","101.0.0.10","6","66"
"121","Nov 30, 2022 12:09:26.665628000 EST",,,,"77"
"122","Nov 30, 2022 12:10:12.531489000 EST","102.0.0.10","101.0.0.10","6","74"
"123","Nov 30, 2022 12:10:12.553905000 EST","101.0.0.10","102.0.0.10","6","74"
"124","Nov 30, 2022 12:10:12.554145000 EST","102.0.0.10","101.0.0.10","6","66"
"125","Nov 30, 2022 12:10:12.554179000 EST","102.0.0.10","101.0.0.10","6","221"
"126","Nov 30, 2022 12:10:12.584495000 EST","101.0.0.10","102.0.0.10","6","66"
"127","Nov 30, 2022 12:10:12.584529000 EST","101.0.0.10","102.0.0.10","6","477"
"128","Nov 30, 2022 12:10:12.584730000 EST","102.0.0.10","101.0.0.10","6","66"
"129","Nov 30, 2022 12:10:12.585282000 EST","102.0.0.10","101.0.0.10","6","66"
"130","Nov 30, 2022 12:10:12.615163000 EST","101.0.0.10","102.0.0.10","6","66"
"131","Nov 30, 2022 12:10:12.615434000 EST","102.0.0.10","101.0.0.10","6","66"
"132","Nov 30, 2022 12:10:17.694864000 EST",,,,"42"
"133","Nov 30, 2022 12:10:17.704614000 EST",,,,"60"
"134","Nov 30, 2022 12:10:28.795978000 EST",,,,"370"
"135","Nov 30, 2022 12:11:12.623327000 EST","102.0.0.10","101.0.0.10","6","74"
"136","Nov 30, 2022 12:11:12.648131000 EST","101.0.0.10","102.0.0.10","6","74"
"137","Nov 30, 2022 12:11:12.648360000 EST","102.0.0.10","101.0.0.10","6","66"
"138","Nov 30, 2022 12:11:12.648383000 EST","102.0.0.10","101.0.0.10","6","221"
"139","Nov 30, 2022 12:11:12.678687000 EST","101.0.0.10","102.0.0.10","6","66"
"140","Nov 30, 2022 12:11:12.678731000 EST","101.0.0.10","102.0.0.10","6","477"
"141","Nov 30, 2022 12:11:12.678951000 EST","102.0.0.10","101.0.0.10","6","66"
"142","Nov 30, 2022 12:11:12.679698000 EST","102.0.0.10","101.0.0.10","6","66"
"143","Nov 30, 2022 12:11:12.709132000 EST","101.0.0.10","102.0.0.10","6","66"
"144","Nov 30, 2022 12:11:12.709273000 EST","102.0.0.10","101.0.0.10","6","66"
"145","Nov 30, 2022 12:11:17.858736000 EST",,,,"42"
"146","Nov 30, 2022 12:11:17.865228000 EST",,,,"60"
"147","Nov 30, 2022 12:11:49.244484000 EST",,,,"370"
"148","Nov 30, 2022 12:13:10.039983000 EST",,,,"370"
"149","Nov 30, 2022 12:13:12.781375000 EST","102.0.0.10","101.0.0.10","6","74"
"150","Nov 30, 2022 12:13:12.805178000 EST","101.0.0.10","102.0.0.10","6","74"
"151","Nov 30, 2022 12:13:12.805360000 EST","102.0.0.10","101.0.0.10","6","66"
"152","Nov 30, 2022 12:13:12.805460000 EST","102.0.0.10","101.0.0.10","6","221"
"153","Nov 30, 2022 12:13:12.835602000 EST","101.0.0.10","102.0.0.10","6","66"
"154","Nov 30, 2022 12:13:12.835654000 EST","101.0.0.10","102.0.0.10","6","477"
