frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Nov 30, 2022 11:56:47.014675000 EST",,,,"90"
"2","Nov 30, 2022 11:56:47.518796000 EST",,,,"86"
"3","Nov 30, 2022 11:56:47.842662000 EST",,,,"90"
"4","Nov 30, 2022 11:56:48.354655000 EST",,,,"90"
"5","Nov 30, 2022 11:56:48.542676000 EST",,,,"90"
"6","Nov 30, 2022 11:56:48.542742000 EST",,,,"70"
"7","Nov 30, 2022 11:56:49.058702000 EST",,,,"86"
"8","Nov 30, 2022 11:56:49.246711000 EST",,,,"90"
"9","Nov 30, 2022 11:56:49.342722000 EST",,,,"90"
"10","Nov 30, 2022 11:56:50.078716000 EST",,,,"90"
"11","Nov 30, 2022 11:56:50.078767000 EST",,,,"70"
"12","Nov 30, 2022 11:56:51.038743000 EST",,,,"90"
"13","Nov 30, 2022 11:56:52.574692000 EST",,,,"70"
"14","Nov 30, 2022 11:56:54.110678000 EST",,,,"70"
"15","Nov 30, 2022 11:57:00.254932000 EST",,,,"70"
"16","Nov 30, 2022 11:57:02.302693000 EST",,,,"70"
"17","Nov 30, 2022 11:57:02.484894000 EST",,,,"60"
"18","Nov 30, 2022 11:57:02.495043000 EST",,,,"60"
"19","Nov 30, 2022 11:57:02.576117000 EST",,,,"351"
"20","Nov 30, 2022 11:57:02.576170000 EST",,,,"77"
"21","Nov 30, 2022 11:57:03.858000000 EST",,,,"351"
"22","Nov 30, 2022 11:57:05.076804000 EST",,,,"351"
"23","Nov 30, 2022 11:57:14.590864000 EST",,,,"70"
"24","Nov 30, 2022 11:57:19.202920000 EST",,,,"70"
"25","Nov 30, 2022 11:57:43.774718000 EST",,,,"70"
"26","Nov 30, 2022 11:57:51.966772000 EST",,,,"70"
"27","Nov 30, 2022 11:58:11.258193000 EST",,,,"60"
"28","Nov 30, 2022 11:58:11.258371000 EST",,,,"42"
"29","Nov 30, 2022 11:58:11.268213000 EST","102.0.0.10","172.17.0.10","17","68"
"30","Nov 30, 2022 11:58:11.268805000 EST","172.17.0.10","172.16.0.10","17","70"
"31","Nov 30, 2022 11:58:11.308756000 EST","172.16.0.10","172.17.0.10","17","101"
"32","Nov 30, 2022 11:58:11.309682000 EST","172.17.0.10","172.16.0.10","17","74"
"33","Nov 30, 2022 11:58:11.338930000 EST","172.16.0.10","172.17.0.10","17","154"
"34","Nov 30, 2022 11:58:11.339517000 EST","172.17.0.10","172.16.0.10","17","87"
"35","Nov 30, 2022 11:58:11.339879000 EST","172.17.0.10","172.16.0.10","17","85"
"36","Nov 30, 2022 11:58:11.369142000 EST","172.16.0.10","172.17.0.10","17","151"
"37","Nov 30, 2022 11:58:11.369204000 EST","172.16.0.10","172.17.0.10","17","165"
"38","Nov 30, 2022 11:58:11.369823000 EST","172.17.0.10","172.16.0.10","17","92"
"39","Nov 30, 2022 11:58:11.370340000 EST","172.17.0.10","172.16.0.10","17","89"
"40","Nov 30, 2022 11:58:11.399392000 EST","172.16.0.10","172.17.0.10","17","151"
"41","Nov 30, 2022 11:58:11.399429000 EST","172.16.0.10","172.17.0.10","17","118"
"42","Nov 30, 2022 11:58:11.400475000 EST","172.17.0.10","172.16.0.10","17","74"
"43","Nov 30, 2022 11:58:11.400841000 EST","172.17.0.10","172.16.0.10","17","89"
"44","Nov 30, 2022 11:58:11.429820000 EST","172.16.0.10","172.17.0.10","17","115"
"45","Nov 30, 2022 11:58:11.429871000 EST","172.16.0.10","172.17.0.10","17","169"
"46","Nov 30, 2022 11:58:11.430476000 EST","172.17.0.10","172.16.1.10","17","79"
"47","Nov 30, 2022 11:58:11.430848000 EST","172.17.0.10","172.16.1.10","17","78"
"48","Nov 30, 2022 11:58:11.470213000 EST","172.16.1.10","172.17.0.10","17","104"
"49","Nov 30, 2022 11:58:11.470960000 EST","172.17.0.10","172.16.1.10","17","78"
"50","Nov 30, 2022 11:58:11.500537000 EST","172.16.1.10","172.17.0.10","17","148"
"51","Nov 30, 2022 11:58:11.500961000 EST","172.17.0.10","172.16.1.10","17","82"
"52","Nov 30, 2022 11:58:11.530838000 EST","172.16.1.10","172.17.0.10","17","142"
"53","Nov 30, 2022 11:58:11.531228000 EST","172.17.0.10","172.16.1.10","17","82"
"54","Nov 30, 2022 11:58:11.531625000 EST","172.17.0.10","172.16.2.10","17","79"
"55","Nov 30, 2022 11:58:11.561241000 EST","172.16.1.10","172.17.0.10","17","155"
"56","Nov 30, 2022 11:58:11.571378000 EST","172.16.2.10","172.17.0.10","17","120"
