frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Dec 31, 1969 19:30:00.117232000 EST","192.42.116.13","101.0.0.10","6","40"
"2","Dec 31, 1969 19:30:00.117232000 EST","101.0.0.10","192.42.116.13","6","40"
"3","Dec 31, 1969 19:30:00.218232000 EST","192.42.116.13","101.0.0.10","6","40"
"4","Dec 31, 1969 19:30:00.351696000 EST","192.42.116.13","101.0.0.10","6","200"
"5","Dec 31, 1969 19:30:00.351696000 EST","101.0.0.10","192.42.116.13","6","152"
"6","Dec 31, 1969 19:30:00.351696000 EST","101.0.0.10","192.42.116.13","6","47"
"7","Dec 31, 1969 19:30:00.452696000 EST","192.42.116.13","101.0.0.10","6","40"
"8","Dec 31, 1969 19:30:00.452696000 EST","101.0.0.10","192.42.116.13","6","40"
"9","Dec 31, 1969 19:30:00.552696000 EST","192.42.116.13","101.0.0.10","6","40"
"10","Dec 31, 1969 19:30:00.552696000 EST","192.42.116.13","101.0.0.10","6","40"
"11","Dec 31, 1969 19:30:00.552696000 EST","101.0.0.10","192.42.116.13","6","40"
"12","Dec 31, 1969 19:30:00.687160000 EST","192.42.116.13","101.0.0.10","6","40"
"13","Dec 31, 1969 19:30:00.687160000 EST","101.0.0.10","192.42.116.13","6","40"
"14","Dec 31, 1969 19:30:00.788160000 EST","192.42.116.13","101.0.0.10","6","40"
"15","Dec 31, 1969 19:30:00.921624000 EST","192.42.116.13","101.0.0.10","6","200"
"16","Dec 31, 1969 19:30:00.921624000 EST","101.0.0.10","192.42.116.13","6","152"
"17","Dec 31, 1969 19:30:00.921624000 EST","101.0.0.10","192.42.116.13","6","47"
"18","Dec 31, 1969 19:30:01.022624000 EST","192.42.116.13","101.0.0.10","6","40"
"19","Dec 31, 1969 19:30:01.022624000 EST","101.0.0.10","192.42.116.13","6","40"
"20","Dec 31, 1969 19:30:01.122624000 EST","192.42.116.13","101.0.0.10","6","40"
"21","Dec 31, 1969 19:30:01.122624000 EST","192.42.116.13","101.0.0.10","6","40"
"22","Dec 31, 1969 19:30:01.122624000 EST","101.0.0.10","192.42.116.13","6","40"
"23","Dec 31, 1969 19:30:01.257088000 EST","192.42.116.13","101.0.0.10","6","40"
"24","Dec 31, 1969 19:30:01.257088000 EST","101.0.0.10","192.42.116.13","6","40"
"25","Dec 31, 1969 19:30:01.358088000 EST","192.42.116.13","101.0.0.10","6","40"
"26","Dec 31, 1969 19:30:01.491552000 EST","192.42.116.13","101.0.0.10","6","201"
"27","Dec 31, 1969 19:30:01.491552000 EST","101.0.0.10","192.42.116.13","6","152"
"28","Dec 31, 1969 19:30:01.491552000 EST","101.0.0.10","192.42.116.13","6","47"
"29","Dec 31, 1969 19:30:01.592552000 EST","192.42.116.13","101.0.0.10","6","40"
"30","Dec 31, 1969 19:30:01.592552000 EST","101.0.0.10","192.42.116.13","6","40"
"31","Dec 31, 1969 19:30:01.692552000 EST","192.42.116.13","101.0.0.10","6","40"
"32","Dec 31, 1969 19:30:01.692552000 EST","192.42.116.13","101.0.0.10","6","40"
"33","Dec 31, 1969 19:30:01.692552000 EST","101.0.0.10","192.42.116.13","6","40"
"34","Dec 31, 1969 19:30:01.827016000 EST","192.42.116.13","101.0.0.10","6","40"
"35","Dec 31, 1969 19:30:01.827016000 EST","101.0.0.10","192.42.116.13","6","40"
"36","Dec 31, 1969 19:30:01.928016000 EST","192.42.116.13","101.0.0.10","6","40"
"37","Dec 31, 1969 19:30:02.061480000 EST","192.42.116.13","101.0.0.10","6","200"
"38","Dec 31, 1969 19:30:02.061480000 EST","101.0.0.10","192.42.116.13","6","152"
"39","Dec 31, 1969 19:30:02.061480000 EST","101.0.0.10","192.42.116.13","6","47"
"40","Dec 31, 1969 19:30:02.162480000 EST","192.42.116.13","101.0.0.10","6","40"
"41","Dec 31, 1969 19:30:02.162480000 EST","101.0.0.10","192.42.116.13","6","40"
"42","Dec 31, 1969 19:30:02.262480000 EST","192.42.116.13","101.0.0.10","6","40"
"43","Dec 31, 1969 19:30:02.262480000 EST","192.42.116.13","101.0.0.10","6","40"
"44","Dec 31, 1969 19:30:02.262480000 EST","101.0.0.10","192.42.116.13","6","40"
"45","Dec 31, 1969 19:30:02.396944000 EST","192.42.116.13","101.0.0.10","6","40"
"46","Dec 31, 1969 19:30:02.396944000 EST","101.0.0.10","192.42.116.13","6","40"
"47","Dec 31, 1969 19:30:02.497944000 EST","192.42.116.13","101.0.0.10","6","40"
"48","Dec 31, 1969 19:30:02.631408000 EST","192.42.116.13","101.0.0.10","6","201"
"49","Dec 31, 1969 19:30:02.631408000 EST","101.0.0.10","192.42.116.13","6","152"
"50","Dec 31, 1969 19:30:02.631408000 EST","101.0.0.10","192.42.116.13","6","47"
"51","Dec 31, 1969 19:30:02.732408000 EST","192.42.116.13","101.0.0.10","6","40"
