frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"2","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"3","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"4","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"5","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"6","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"7","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"8","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"9","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"10","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"11","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"12","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"13","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"14","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"15","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"16","Dec 31, 1969 19:00:04.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"17","Dec 31, 1969 19:00:04.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"18","Dec 31, 1969 19:00:04.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"19","Dec 31, 1969 19:03:20.955610000 EST","127.0.0.1","127.0.0.1","6","84"
"20","Dec 31, 1969 19:03:20.955610000 EST","127.0.0.1","127.0.0.1","6","84"
"21","Dec 31, 1969 19:03:20.956610000 EST","127.0.0.1","127.0.0.1","6","40"
"22","Dec 31, 1969 19:03:20.956610000 EST","127.0.0.1","127.0.0.1","6","40"
"23","Dec 31, 1969 19:03:21.309938000 EST","127.0.0.1","127.0.0.1","6","82"
"24","Dec 31, 1969 19:03:21.309938000 EST","127.0.0.1","127.0.0.1","6","82"
"25","Dec 31, 1969 19:03:21.310938000 EST","127.0.0.1","127.0.0.1","6","40"
"26","Dec 31, 1969 19:03:21.310938000 EST","127.0.0.1","127.0.0.1","6","40"
"27","Dec 31, 1969 19:09:29.385771000 EST","127.0.0.1","127.0.0.1","6","84"
"28","Dec 31, 1969 19:09:29.385771000 EST","127.0.0.1","127.0.0.1","6","84"
"29","Dec 31, 1969 19:09:29.386771000 EST","127.0.0.1","127.0.0.1","6","40"
"30","Dec 31, 1969 19:09:29.386771000 EST","127.0.0.1","127.0.0.1","6","40"
"31","Dec 31, 1969 19:11:34.392284000 EST","127.0.0.1","127.0.0.1","6","84"
"32","Dec 31, 1969 19:11:34.392284000 EST","127.0.0.1","127.0.0.1","6","84"
"33","Dec 31, 1969 19:11:34.393284000 EST","127.0.0.1","127.0.0.1","6","40"
"34","Dec 31, 1969 19:11:34.393284000 EST","127.0.0.1","127.0.0.1","6","40"
"35","Dec 31, 1969 19:15:44.405869000 EST","127.0.0.1","127.0.0.1","6","84"
"36","Dec 31, 1969 19:15:44.405869000 EST","127.0.0.1","127.0.0.1","6","84"
"37","Dec 31, 1969 19:15:44.406869000 EST","127.0.0.1","127.0.0.1","6","40"
"38","Dec 31, 1969 19:15:44.406869000 EST","127.0.0.1","127.0.0.1","6","40"
"39","Dec 31, 1969 19:22:20.428076000 EST","127.0.0.1","127.0.0.1","6","84"
"40","Dec 31, 1969 19:22:20.428076000 EST","127.0.0.1","127.0.0.1","6","84"
"41","Dec 31, 1969 19:22:20.429076000 EST","127.0.0.1","127.0.0.1","6","40"
"42","Dec 31, 1969 19:22:20.429076000 EST","127.0.0.1","127.0.0.1","6","40"
"43","Dec 31, 1969 19:26:57.437312000 EST","127.0.0.1","127.0.0.1","6","84"
"44","Dec 31, 1969 19:26:57.437312000 EST","127.0.0.1","127.0.0.1","6","84"
"45","Dec 31, 1969 19:26:57.438312000 EST","127.0.0.1","127.0.0.1","6","40"
"46","Dec 31, 1969 19:26:57.438312000 EST","127.0.0.1","127.0.0.1","6","40"
"47","Dec 31, 1969 19:31:06.451629000 EST","127.0.0.1","127.0.0.1","6","84"
"48","Dec 31, 1969 19:31:06.451629000 EST","127.0.0.1","127.0.0.1","6","84"
"49","Dec 31, 1969 19:31:06.452629000 EST","127.0.0.1","127.0.0.1","6","40"
"50","Dec 31, 1969 19:31:06.452629000 EST","127.0.0.1","127.0.0.1","6","40"
"51","Dec 31, 1969 19:36:01.408319000 EST","127.0.0.1","127.0.0.1","6","84"
"52","Dec 31, 1969 19:36:01.408319000 EST","127.0.0.1","127.0.0.1","6","84"
"53","Dec 31, 1969 19:36:01.409319000 EST","127.0.0.1","127.0.0.1","6","40"
"54","Dec 31, 1969 19:36:01.409319000 EST","127.0.0.1","127.0.0.1","6","40"
"55","Dec 31, 1969 19:40:19.471662000 EST","127.0.0.1","127.0.0.1","6","84"
"56","Dec 31, 1969 19:40:19.471662000 EST","127.0.0.1","127.0.0.1","6","84"
"57","Dec 31, 1969 19:40:19.472662000 EST","127.0.0.1","127.0.0.1","6","40"
"58","Dec 31, 1969 19:40:19.472662000 EST","127.0.0.1","127.0.0.1","6","40"
"59","Dec 31, 1969 19:45:33.484809000 EST","127.0.0.1","127.0.0.1","6","84"
"60","Dec 31, 1969 19:45:33.484809000 EST","127.0.0.1","127.0.0.1","6","84"
"61","Dec 31, 1969 19:45:33.485809000 EST","127.0.0.1","127.0.0.1","6","40"
