frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Nov 30, 2022 11:56:47.978752000 EST",,,,"90"
"2","Nov 30, 2022 11:56:48.414662000 EST",,,,"86"
"3","Nov 30, 2022 11:56:48.458680000 EST",,,,"90"
"4","Nov 30, 2022 11:56:48.834636000 EST",,,,"90"
"5","Nov 30, 2022 11:56:49.250876000 EST",,,,"86"
"6","Nov 30, 2022 11:56:49.278811000 EST",,,,"90"
"7","Nov 30, 2022 11:56:49.438711000 EST",,,,"90"
"8","Nov 30, 2022 11:56:49.438765000 EST",,,,"70"
"9","Nov 30, 2022 11:56:49.502683000 EST",,,,"90"
"10","Nov 30, 2022 11:56:50.270861000 EST",,,,"90"
"11","Nov 30, 2022 11:56:50.270937000 EST",,,,"70"
"12","Nov 30, 2022 11:56:50.590752000 EST",,,,"90"
"13","Nov 30, 2022 11:56:53.854706000 EST",,,,"70"
"14","Nov 30, 2022 11:56:54.622731000 EST",,,,"70"
"15","Nov 30, 2022 11:57:02.469966000 EST",,,,"60"
"16","Nov 30, 2022 11:57:02.480104000 EST",,,,"60"
"17","Nov 30, 2022 11:57:02.558760000 EST",,,,"70"
"18","Nov 30, 2022 11:57:02.560772000 EST",,,,"356"
"19","Nov 30, 2022 11:57:02.560816000 EST",,,,"77"
"20","Nov 30, 2022 11:57:02.814831000 EST",,,,"70"
"21","Nov 30, 2022 11:57:03.863629000 EST",,,,"356"
"22","Nov 30, 2022 11:57:05.078158000 EST",,,,"356"
"23","Nov 30, 2022 11:57:18.942809000 EST",,,,"70"
"24","Nov 30, 2022 11:57:19.202908000 EST",,,,"70"
"25","Nov 30, 2022 11:57:51.966732000 EST",,,,"70"
"26","Nov 30, 2022 11:57:54.014714000 EST",,,,"70"
"27","Nov 30, 2022 11:58:11.285830000 EST",,,,"60"
"28","Nov 30, 2022 11:58:11.285935000 EST",,,,"42"
"29","Nov 30, 2022 11:58:11.295938000 EST","172.17.0.10","172.16.0.10","17","70"
"30","Nov 30, 2022 11:58:11.296607000 EST","172.16.0.10","172.17.0.10","17","101"
"31","Nov 30, 2022 11:58:11.326350000 EST","172.17.0.10","172.16.0.10","17","74"
"32","Nov 30, 2022 11:58:11.326887000 EST","172.16.0.10","172.17.0.10","17","154"
"33","Nov 30, 2022 11:58:11.356698000 EST","172.17.0.10","172.16.0.10","17","87"
"34","Nov 30, 2022 11:58:11.356735000 EST","172.17.0.10","172.16.0.10","17","85"
"35","Nov 30, 2022 11:58:11.357222000 EST","172.16.0.10","172.17.0.10","17","151"
"36","Nov 30, 2022 11:58:11.357252000 EST","172.16.0.10","172.17.0.10","17","165"
"37","Nov 30, 2022 11:58:11.386939000 EST","172.17.0.10","172.16.0.10","17","92"
"38","Nov 30, 2022 11:58:11.386976000 EST","172.17.0.10","172.16.0.10","17","89"
"39","Nov 30, 2022 11:58:11.387537000 EST","172.16.0.10","172.17.0.10","17","151"
