frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Nov 30, 2022 11:56:47.842634000 EST",,,,"90"
"2","Nov 30, 2022 11:56:47.854651000 EST",,,,"90"
"3","Nov 30, 2022 11:56:48.254616000 EST",,,,"90"
"4","Nov 30, 2022 11:56:48.290624000 EST",,,,"90"
"5","Nov 30, 2022 11:56:48.642642000 EST",,,,"86"
"6","Nov 30, 2022 11:56:48.802632000 EST",,,,"86"
"7","Nov 30, 2022 11:56:49.662724000 EST",,,,"90"
"8","Nov 30, 2022 11:56:49.662785000 EST",,,,"70"
"9","Nov 30, 2022 11:56:49.822766000 EST",,,,"90"
"10","Nov 30, 2022 11:56:49.822841000 EST",,,,"70"
"11","Nov 30, 2022 11:56:50.030845000 EST",,,,"90"
"12","Nov 30, 2022 11:56:50.430845000 EST",,,,"90"
"13","Nov 30, 2022 11:56:53.598783000 EST",,,,"70"
"14","Nov 30, 2022 11:56:53.602712000 EST",,,,"70"
"15","Nov 30, 2022 11:57:01.282729000 EST",,,,"70"
"16","Nov 30, 2022 11:57:01.534801000 EST",,,,"70"
"17","Nov 30, 2022 11:57:02.433826000 EST",,,,"60"
"18","Nov 30, 2022 11:57:02.443961000 EST",,,,"60"
"19","Nov 30, 2022 11:57:02.525294000 EST",,,,"360"
"20","Nov 30, 2022 11:57:02.525342000 EST",,,,"77"
"21","Nov 30, 2022 11:57:03.849957000 EST",,,,"360"
"22","Nov 30, 2022 11:57:05.075967000 EST",,,,"360"
"23","Nov 30, 2022 11:57:16.382692000 EST",,,,"70"
"24","Nov 30, 2022 11:57:17.410769000 EST",,,,"70"
"25","Nov 30, 2022 11:57:47.874744000 EST",,,,"70"
"26","Nov 30, 2022 11:57:51.966728000 EST",,,,"70"
"27","Nov 30, 2022 11:58:11.599598000 EST",,,,"60"
"28","Nov 30, 2022 11:58:11.599696000 EST",,,,"42"
"29","Nov 30, 2022 11:58:11.609882000 EST","102.0.0.10","101.0.0.10","6","74"
"30","Nov 30, 2022 11:58:11.610028000 EST","101.0.0.10","102.0.0.10","6","74"
"31","Nov 30, 2022 11:58:11.640148000 EST","102.0.0.10","101.0.0.10","6","66"
"32","Nov 30, 2022 11:58:11.640187000 EST","102.0.0.10","101.0.0.10","6","221"
"33","Nov 30, 2022 11:58:11.640297000 EST","101.0.0.10","102.0.0.10","6","66"
"34","Nov 30, 2022 11:58:11.641015000 EST","101.0.0.10","102.0.0.10","6","477"
"35","Nov 30, 2022 11:58:11.670519000 EST","102.0.0.10","101.0.0.10","6","66"
"36","Nov 30, 2022 11:58:11.670549000 EST","102.0.0.10","101.0.0.10","6","66"
"37","Nov 30, 2022 11:58:11.670846000 EST","101.0.0.10","102.0.0.10","6","66"
"38","Nov 30, 2022 11:58:11.701130000 EST","102.0.0.10","101.0.0.10","6","66"
"39","Nov 30, 2022 11:58:16.798856000 EST",,,,"42"
"40","Nov 30, 2022 11:58:16.804310000 EST",,,,"60"
"41","Nov 30, 2022 11:58:24.839066000 EST",,,,"374"
"42","Nov 30, 2022 11:58:49.310688000 EST",,,,"70"
"43","Nov 30, 2022 11:58:55.454736000 EST",,,,"70"
"44","Nov 30, 2022 11:59:46.305867000 EST",,,,"374"
"45","Nov 30, 2022 12:00:11.768581000 EST","102.0.0.10","101.0.0.10","6","74"
"46","Nov 30, 2022 12:00:11.768897000 EST","101.0.0.10","102.0.0.10","6","74"
"47","Nov 30, 2022 12:00:11.799211000 EST","102.0.0.10","101.0.0.10","6","66"
"48","Nov 30, 2022 12:00:11.799266000 EST","102.0.0.10","101.0.0.10","6","221"
"49","Nov 30, 2022 12:00:11.799473000 EST","101.0.0.10","102.0.0.10","6","66"
"50","Nov 30, 2022 12:00:11.800091000 EST","101.0.0.10","102.0.0.10","6","477"
"51","Nov 30, 2022 12:00:11.829960000 EST","102.0.0.10","101.0.0.10","6","66"
"52","Nov 30, 2022 12:00:11.830016000 EST","102.0.0.10","101.0.0.10","6","66"
"53","Nov 30, 2022 12:00:11.830217000 EST","101.0.0.10","102.0.0.10","6","66"
"54","Nov 30, 2022 12:00:11.860470000 EST","102.0.0.10","101.0.0.10","6","66"
"55","Nov 30, 2022 12:00:16.862756000 EST",,,,"42"
"56","Nov 30, 2022 12:00:16.864094000 EST",,,,"60"
"57","Nov 30, 2022 12:00:52.190747000 EST",,,,"70"
"58","Nov 30, 2022 12:00:56.290717000 EST",,,,"70"
"59","Nov 30, 2022 12:01:07.822722000 EST",,,,"374"
"60","Nov 30, 2022 12:02:11.924597000 EST","102.0.0.10","101.0.0.10","6","74"
"61","Nov 30, 2022 12:02:11.924700000 EST","101.0.0.10","102.0.0.10","6","74"
"62","Nov 30, 2022 12:02:11.965227000 EST","102.0.0.10","101.0.0.10","6","66"
"63","Nov 30, 2022 12:02:11.965255000 EST","102.0.0.10","101.0.0.10","6","222"
"64","Nov 30, 2022 12:02:11.965406000 EST","101.0.0.10","102.0.0.10","6","66"
"65","Nov 30, 2022 12:02:11.965751000 EST","101.0.0.10","102.0.0.10","6","477"
"66","Nov 30, 2022 12:02:11.995799000 EST","102.0.0.10","101.0.0.10","6","66"
"67","Nov 30, 2022 12:02:11.995828000 EST","102.0.0.10","101.0.0.10","6","66"
"68","Nov 30, 2022 12:02:11.996078000 EST","101.0.0.10","102.0.0.10","6","66"
"69","Nov 30, 2022 12:02:12.026211000 EST","102.0.0.10","101.0.0.10","6","66"
"70","Nov 30, 2022 12:02:29.401913000 EST",,,,"374"
"71","Nov 30, 2022 12:03:12.013947000 EST","102.0.0.10","101.0.0.10","6","74"
"72","Nov 30, 2022 12:03:12.014163000 EST","101.0.0.10","102.0.0.10","6","74"
"73","Nov 30, 2022 12:03:12.044332000 EST","102.0.0.10","101.0.0.10","6","66"
"74","Nov 30, 2022 12:03:12.044368000 EST","102.0.0.10","101.0.0.10","6","221"
"75","Nov 30, 2022 12:03:12.044500000 EST","101.0.0.10","102.0.0.10","6","66"
"76","Nov 30, 2022 12:03:12.044903000 EST","101.0.0.10","102.0.0.10","6","477"
"77","Nov 30, 2022 12:03:12.075014000 EST","102.0.0.10","101.0.0.10","6","66"
"78","Nov 30, 2022 12:03:12.075045000 EST","102.0.0.10","101.0.0.10","6","66"
