frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Nov 30, 2022 11:57:00.382850000 EST",,,,"42"
"2","Nov 30, 2022 11:57:01.278643000 EST",,,,"70"
"3","Nov 30, 2022 11:57:02.469938000 EST",,,,"60"
"4","Nov 30, 2022 11:57:02.480147000 EST",,,,"60"
"5","Nov 30, 2022 11:57:02.560738000 EST",,,,"356"
"6","Nov 30, 2022 11:57:02.560765000 EST",,,,"77"
"7","Nov 30, 2022 11:57:03.863481000 EST",,,,"356"
"8","Nov 30, 2022 11:57:05.078092000 EST",,,,"356"
"9","Nov 30, 2022 11:57:14.135258000 EST",,,,"60"
"10","Nov 30, 2022 11:57:15.870692000 EST",,,,"70"
"11","Nov 30, 2022 11:57:27.808007000 EST",,,,"60"
"12","Nov 30, 2022 11:57:41.651077000 EST",,,,"60"
"13","Nov 30, 2022 11:57:45.822752000 EST",,,,"70"
"14","Nov 30, 2022 11:57:54.314268000 EST",,,,"60"
"15","Nov 30, 2022 11:58:08.153590000 EST",,,,"60"
"16","Nov 30, 2022 11:58:11.447646000 EST",,,,"60"
"17","Nov 30, 2022 11:58:11.447749000 EST",,,,"42"
"18","Nov 30, 2022 11:58:11.457771000 EST","172.17.0.10","172.16.1.10","17","79"
"19","Nov 30, 2022 11:58:11.458191000 EST","172.16.1.10","172.17.0.10","17","104"
"20","Nov 30, 2022 11:58:11.488004000 EST","172.17.0.10","172.16.1.10","17","78"
"21","Nov 30, 2022 11:58:11.488459000 EST","172.16.1.10","172.17.0.10","17","148"
"22","Nov 30, 2022 11:58:11.518409000 EST","172.17.0.10","172.16.1.10","17","82"
"23","Nov 30, 2022 11:58:11.518536000 EST","172.16.1.10","172.17.0.10","17","142"
"24","Nov 30, 2022 11:58:11.548794000 EST","172.17.0.10","172.16.1.10","17","82"
"25","Nov 30, 2022 11:58:11.549244000 EST","172.16.1.10","172.17.0.10","17","155"
"26","Nov 30, 2022 11:58:11.822538000 EST","172.17.0.10","172.16.1.10","17","78"
"27","Nov 30, 2022 11:58:11.822984000 EST","172.16.1.10","172.17.0.10","17","141"
"28","Nov 30, 2022 11:58:11.852978000 EST","172.17.0.10","172.16.1.10","17","82"
"29","Nov 30, 2022 11:58:11.853173000 EST","172.16.1.10","172.17.0.10","17","115"
"30","Nov 30, 2022 11:58:11.883313000 EST","172.17.0.10","172.16.1.10","17","82"
"31","Nov 30, 2022 11:58:11.883652000 EST","172.16.1.10","172.17.0.10","17","144"
"32","Nov 30, 2022 11:58:16.542636000 EST",,,,"42"
"33","Nov 30, 2022 11:58:16.552209000 EST",,,,"60"
"34","Nov 30, 2022 11:58:20.644115000 EST",,,,"60"
"35","Nov 30, 2022 11:58:24.734201000 EST",,,,"380"
"36","Nov 30, 2022 11:58:34.030663000 EST",,,,"60"
"37","Nov 30, 2022 11:58:45.214705000 EST",,,,"70"
"38","Nov 30, 2022 11:58:47.903804000 EST",,,,"60"
"39","Nov 30, 2022 11:59:01.821294000 EST",,,,"60"
"40","Nov 30, 2022 11:59:14.551950000 EST",,,,"60"
"41","Nov 30, 2022 11:59:28.465127000 EST",,,,"60"
"42","Nov 30, 2022 11:59:42.407075000 EST",,,,"60"
"43","Nov 30, 2022 11:59:46.294844000 EST",,,,"380"
"44","Nov 30, 2022 11:59:55.214441000 EST",,,,"60"
"45","Nov 30, 2022 12:00:09.207494000 EST",,,,"60"
"46","Nov 30, 2022 12:00:23.200490000 EST",,,,"60"
"47","Nov 30, 2022 12:00:36.029241000 EST",,,,"60"
"48","Nov 30, 2022 12:00:37.854682000 EST",,,,"70"
"49","Nov 30, 2022 12:00:50.003110000 EST",,,,"60"
"50","Nov 30, 2022 12:01:03.995868000 EST",,,,"60"
"51","Nov 30, 2022 12:01:07.813094000 EST",,,,"380"
"52","Nov 30, 2022 12:01:16.789086000 EST",,,,"60"
"53","Nov 30, 2022 12:01:30.759174000 EST",,,,"60"
"54","Nov 30, 2022 12:01:44.799232000 EST",,,,"60"
"55","Nov 30, 2022 12:01:58.202792000 EST",,,,"60"
"56","Nov 30, 2022 12:02:11.619233000 EST",,,,"60"
"57","Nov 30, 2022 12:02:25.598760000 EST",,,,"60"
"58","Nov 30, 2022 12:02:29.390954000 EST",,,,"380"
"59","Nov 30, 2022 12:02:38.388483000 EST",,,,"60"
"60","Nov 30, 2022 12:02:52.360644000 EST",,,,"60"
