timestamp,source_ip,destination_ip,resource
1669827491,102.0.0.10,101.0.0.10,evil.dne,/resource2.html
1669827611,102.0.0.10,101.0.0.10,evil.dne,/resource3.html
1669827731,102.0.0.10,101.0.0.10,evil.dne,/resource10.html
1669827792,102.0.0.10,101.0.0.10,evil.dne,/resource2.html
1669827852,102.0.0.10,101.0.0.10,evil.dne,/resource10.html
1669827912,102.0.0.10,101.0.0.10,evil.dne,/resource8.html
1669828032,102.0.0.10,101.0.0.10,evil.dne,/resource5.html
1669828152,102.0.0.10,101.0.0.10,evil.dne,/resource6.html
1669828212,102.0.0.10,101.0.0.10,evil.dne,/resource1.html
1669828272,102.0.0.10,101.0.0.10,evil.dne,/resource9.html
1669828392,102.0.0.10,101.0.0.10,evil.dne,/resource5.html
1669828512,102.0.0.10,101.0.0.10,evil.dne,/resource10.html
1669828573,102.0.0.10,101.0.0.10,evil.dne,/resource3.html
1669828693,102.0.0.10,101.0.0.10,evil.dne,/resource5.html
1669828813,102.0.0.10,101.0.0.10,evil.dne,/resource9.html
1669828873,102.0.0.10,101.0.0.10,evil.dne,/resource2.html
1669828933,102.0.0.10,101.0.0.10,evil.dne,/resource10.html
1669828993,102.0.0.10,101.0.0.10,evil.dne,/resource8.html
1669829113,102.0.0.10,101.0.0.10,evil.dne,/resource8.html
1669829233,102.0.0.10,101.0.0.10,evil.dne,/resource9.html
