frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"2","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"3","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"4","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"5","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"6","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"7","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"8","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"9","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"10","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"11","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"12","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"13","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"14","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"15","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"16","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"17","Dec 31, 1969 19:00:02.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"18","Dec 31, 1969 19:00:02.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"19","Dec 31, 1969 19:02:30.001579000 EST","127.0.0.1","127.0.0.1","6","126"
"20","Dec 31, 1969 19:02:30.001579000 EST","127.0.0.1","127.0.0.1","6","126"
"21","Dec 31, 1969 19:02:30.002579000 EST","127.0.0.1","127.0.0.1","6","40"
"22","Dec 31, 1969 19:02:30.002579000 EST","127.0.0.1","127.0.0.1","6","40"
"23","Dec 31, 1969 19:02:30.026579000 EST","127.0.0.1","127.0.0.1","6","503"
"24","Dec 31, 1969 19:02:30.026579000 EST","127.0.0.1","127.0.0.1","6","503"
"25","Dec 31, 1969 19:02:30.027579000 EST","127.0.0.1","127.0.0.1","6","40"
"26","Dec 31, 1969 19:02:30.027579000 EST","127.0.0.1","127.0.0.1","6","40"
"27","Dec 31, 1969 19:02:31.785285000 EST","127.0.0.1","127.0.0.1","6","159"
"28","Dec 31, 1969 19:02:31.785285000 EST","127.0.0.1","127.0.0.1","6","159"
"29","Dec 31, 1969 19:02:31.785285000 EST","127.0.0.1","127.0.0.1","6","59"
"30","Dec 31, 1969 19:02:31.785285000 EST","127.0.0.1","127.0.0.1","6","59"
"31","Dec 31, 1969 19:02:31.785285000 EST","127.0.0.1","127.0.0.1","6","69"
"32","Dec 31, 1969 19:02:31.785285000 EST","127.0.0.1","127.0.0.1","6","69"
"33","Dec 31, 1969 19:02:31.786285000 EST","127.0.0.1","127.0.0.1","6","40"
"34","Dec 31, 1969 19:02:31.786285000 EST","127.0.0.1","127.0.0.1","6","40"
"35","Dec 31, 1969 19:02:32.027326000 EST","127.0.0.1","127.0.0.1","6","172"
"36","Dec 31, 1969 19:02:32.027326000 EST","127.0.0.1","127.0.0.1","6","172"
"37","Dec 31, 1969 19:02:32.028326000 EST","127.0.0.1","127.0.0.1","6","40"
"38","Dec 31, 1969 19:02:32.028326000 EST","127.0.0.1","127.0.0.1","6","40"
"39","Dec 31, 1969 19:02:32.064786000 EST","127.0.0.1","127.0.0.1","6","226"
"40","Dec 31, 1969 19:02:32.064786000 EST","127.0.0.1","127.0.0.1","6","226"
"41","Dec 31, 1969 19:02:32.065786000 EST","127.0.0.1","127.0.0.1","6","40"
"42","Dec 31, 1969 19:02:32.065786000 EST","127.0.0.1","127.0.0.1","6","40"
"43","Dec 31, 1969 19:02:32.138782000 EST","127.0.0.1","127.0.0.1","6","284"
"44","Dec 31, 1969 19:02:32.138782000 EST","127.0.0.1","127.0.0.1","6","284"
"45","Dec 31, 1969 19:02:32.139782000 EST","127.0.0.1","127.0.0.1","6","40"
"46","Dec 31, 1969 19:02:32.139782000 EST","127.0.0.1","127.0.0.1","6","40"
"47","Dec 31, 1969 19:02:32.400418000 EST","127.0.0.1","127.0.0.1","6","631"
"48","Dec 31, 1969 19:02:32.400418000 EST","127.0.0.1","127.0.0.1","6","631"
"49","Dec 31, 1969 19:02:32.401418000 EST","127.0.0.1","127.0.0.1","6","40"
"50","Dec 31, 1969 19:02:32.401418000 EST","127.0.0.1","127.0.0.1","6","40"
"51","Dec 31, 1969 19:02:32.785845000 EST","127.0.0.1","127.0.0.1","6","60"
"52","Dec 31, 1969 19:02:32.785845000 EST","127.0.0.1","127.0.0.1","6","60"
"53","Dec 31, 1969 19:02:32.786845000 EST","127.0.0.1","127.0.0.1","6","40"
"54","Dec 31, 1969 19:02:32.786845000 EST","127.0.0.1","127.0.0.1","6","40"
"55","Dec 31, 1969 19:02:33.027579000 EST","127.0.0.1","127.0.0.1","6","172"
"56","Dec 31, 1969 19:02:33.027579000 EST","127.0.0.1","127.0.0.1","6","172"
"57","Dec 31, 1969 19:02:33.028579000 EST","127.0.0.1","127.0.0.1","6","40"
"58","Dec 31, 1969 19:02:33.028579000 EST","127.0.0.1","127.0.0.1","6","40"
"59","Dec 31, 1969 19:02:33.065039000 EST","127.0.0.1","127.0.0.1","6","226"
"60","Dec 31, 1969 19:02:33.065039000 EST","127.0.0.1","127.0.0.1","6","226"
"61","Dec 31, 1969 19:02:33.066039000 EST","127.0.0.1","127.0.0.1","6","40"
"62","Dec 31, 1969 19:02:33.066039000 EST","127.0.0.1","127.0.0.1","6","40"
"63","Dec 31, 1969 19:02:33.248799000 EST","127.0.0.1","127.0.0.1","6","279"
"64","Dec 31, 1969 19:02:33.248799000 EST","127.0.0.1","127.0.0.1","6","279"
"65","Dec 31, 1969 19:02:33.249799000 EST","127.0.0.1","127.0.0.1","6","40"
"66","Dec 31, 1969 19:02:33.249799000 EST","127.0.0.1","127.0.0.1","6","40"
"67","Dec 31, 1969 19:02:33.347247000 EST","127.0.0.1","127.0.0.1","6","631"
"68","Dec 31, 1969 19:02:33.347247000 EST","127.0.0.1","127.0.0.1","6","631"
"69","Dec 31, 1969 19:02:33.348247000 EST","127.0.0.1","127.0.0.1","6","40"
"70","Dec 31, 1969 19:02:33.348247000 EST","127.0.0.1","127.0.0.1","6","40"
"71","Dec 31, 1969 19:02:33.786817000 EST","127.0.0.1","127.0.0.1","6","58"
"72","Dec 31, 1969 19:02:33.786817000 EST","127.0.0.1","127.0.0.1","6","58"
"73","Dec 31, 1969 19:02:33.787817000 EST","127.0.0.1","127.0.0.1","6","40"
"74","Dec 31, 1969 19:02:33.787817000 EST","127.0.0.1","127.0.0.1","6","40"
"75","Dec 31, 1969 19:02:34.027817000 EST","127.0.0.1","127.0.0.1","6","172"
"76","Dec 31, 1969 19:02:34.027817000 EST","127.0.0.1","127.0.0.1","6","172"
"77","Dec 31, 1969 19:02:34.028817000 EST","127.0.0.1","127.0.0.1","6","40"
"78","Dec 31, 1969 19:02:34.028817000 EST","127.0.0.1","127.0.0.1","6","40"
"79","Dec 31, 1969 19:02:34.042229000 EST","127.0.0.1","127.0.0.1","6","225"
"80","Dec 31, 1969 19:02:34.042229000 EST","127.0.0.1","127.0.0.1","6","225"
"81","Dec 31, 1969 19:02:34.043229000 EST","127.0.0.1","127.0.0.1","6","40"
"82","Dec 31, 1969 19:02:34.043229000 EST","127.0.0.1","127.0.0.1","6","40"
"83","Dec 31, 1969 19:02:34.103865000 EST","127.0.0.1","127.0.0.1","6","278"
"84","Dec 31, 1969 19:02:34.103865000 EST","127.0.0.1","127.0.0.1","6","278"
"85","Dec 31, 1969 19:02:34.104865000 EST","127.0.0.1","127.0.0.1","6","40"
"86","Dec 31, 1969 19:02:34.104865000 EST","127.0.0.1","127.0.0.1","6","40"
"87","Dec 31, 1969 19:02:34.213027000 EST","127.0.0.1","127.0.0.1","6","629"
"88","Dec 31, 1969 19:02:34.213027000 EST","127.0.0.1","127.0.0.1","6","629"
"89","Dec 31, 1969 19:02:34.214027000 EST","127.0.0.1","127.0.0.1","6","40"
"90","Dec 31, 1969 19:02:34.214027000 EST","127.0.0.1","127.0.0.1","6","40"
"91","Dec 31, 1969 19:02:34.787060000 EST","127.0.0.1","127.0.0.1","6","58"
"92","Dec 31, 1969 19:02:34.787060000 EST","127.0.0.1","127.0.0.1","6","58"
"93","Dec 31, 1969 19:02:34.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"94","Dec 31, 1969 19:02:34.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"95","Dec 31, 1969 19:02:35.787060000 EST","127.0.0.1","127.0.0.1","6","53"
"96","Dec 31, 1969 19:02:35.787060000 EST","127.0.0.1","127.0.0.1","6","53"
"97","Dec 31, 1969 19:02:35.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"98","Dec 31, 1969 19:02:35.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"99","Dec 31, 1969 19:02:36.787060000 EST","127.0.0.1","127.0.0.1","6","53"
"100","Dec 31, 1969 19:02:36.787060000 EST","127.0.0.1","127.0.0.1","6","53"
"101","Dec 31, 1969 19:02:36.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"102","Dec 31, 1969 19:02:36.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"103","Dec 31, 1969 19:02:37.787060000 EST","127.0.0.1","127.0.0.1","6","53"
"104","Dec 31, 1969 19:02:37.787060000 EST","127.0.0.1","127.0.0.1","6","53"
"105","Dec 31, 1969 19:02:37.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"106","Dec 31, 1969 19:02:37.788060000 EST","127.0.0.1","127.0.0.1","6","40"
"107","Dec 31, 1969 19:02:38.787527000 EST","127.0.0.1","127.0.0.1","6","55"
"108","Dec 31, 1969 19:02:38.787527000 EST","127.0.0.1","127.0.0.1","6","55"
"109","Dec 31, 1969 19:02:38.788527000 EST","127.0.0.1","127.0.0.1","6","40"
"110","Dec 31, 1969 19:02:38.788527000 EST","127.0.0.1","127.0.0.1","6","40"
"111","Dec 31, 1969 19:02:39.787527000 EST","127.0.0.1","127.0.0.1","6","53"
"112","Dec 31, 1969 19:02:39.787527000 EST","127.0.0.1","127.0.0.1","6","53"
"113","Dec 31, 1969 19:02:39.788527000 EST","127.0.0.1","127.0.0.1","6","40"
"114","Dec 31, 1969 19:02:39.788527000 EST","127.0.0.1","127.0.0.1","6","40"
"115","Dec 31, 1969 19:02:40.787527000 EST","127.0.0.1","127.0.0.1","6","53"
"116","Dec 31, 1969 19:02:40.787527000 EST","127.0.0.1","127.0.0.1","6","53"
"117","Dec 31, 1969 19:02:40.788527000 EST","127.0.0.1","127.0.0.1","6","40"
"118","Dec 31, 1969 19:02:40.788527000 EST","127.0.0.1","127.0.0.1","6","40"
"119","Dec 31, 1969 19:02:41.787527000 EST","127.0.0.1","127.0.0.1","6","53"
"120","Dec 31, 1969 19:02:41.787527000 EST","127.0.0.1","127.0.0.1","6","53"
"121","Dec 31, 1969 19:02:41.788527000 EST","127.0.0.1","127.0.0.1","6","40"
"122","Dec 31, 1969 19:02:41.788527000 EST","127.0.0.1","127.0.0.1","6","40"
