frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"1","Dec 31, 1969 19:30:00.118291000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","119","0","0","0","0","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000",
"2","Dec 31, 1969 19:30:00.118291000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","1","0","0","0","0","0x0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000",
"3","Dec 31, 1969 19:30:00.118402000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","119","0","0","0","1","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000111000","0.000111000","0.000000000","0.000000000",
"4","Dec 31, 1969 19:30:00.118402000 EST","101.0.0.10","5.2.72.101","6","40","40","1","0",,,,"64","119","1","0","0","1","0","0x0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000111000","0.000000000","0.000000000","0.000000000",
"5","Dec 31, 1969 19:30:00.119069000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","119","0","0","0","2","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000778000","0.000667000","0.000000000","0.000000000",
"6","Dec 31, 1969 19:30:00.119069000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","1","0","0","2","0","0x0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000778000","0.000000000","0.000000000","0.000000000",
"7","Dec 31, 1969 19:30:00.119890000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","119","0","0","0","3","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.001599000","0.000821000","0.000000000","0.000000000",
"8","Dec 31, 1969 19:30:00.119890000 EST","101.0.0.10","5.2.72.101","6","40","40","1","0",,,,"64","119","1","0","0","3","0","0x0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.001599000","0.000000000","0.000000000","0.000000000",
"9","Dec 31, 1969 19:30:00.153515000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","119","0","0","0","4","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.035224000","0.033625000","0.000000000","0.000000000",
"10","Dec 31, 1969 19:30:00.153515000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","1","0","0","4","0","0x0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.035224000","0.000000000","0.000000000","0.000000000",
