frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"1","Dec  2, 2022 15:44:31.226855000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,,
"2","Dec  2, 2022 15:44:32.099265000 EST",,,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.872410000","0.872410000",,,
"3","Dec  2, 2022 15:44:45.350253000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.123398000","13.250988000",,,
"4","Dec  2, 2022 15:44:58.377599000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.150744000","13.027346000",,,
"5","Dec  2, 2022 15:45:04.099374000 EST",,,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32.872519000","5.721775000",,,
"6","Dec  2, 2022 15:45:12.436598000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.209743000","8.337224000",,,
"7","Dec  2, 2022 15:45:26.601270000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.374415000","14.164672000",,,
"8","Dec  2, 2022 15:45:30.915825000 EST",,,,"370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.688970000","4.314555000",,,
"9","Dec  2, 2022 15:45:38.686483000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.459628000","7.770658000",,,
"10","Dec  2, 2022 15:45:38.726977000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.500122000","0.040494000",,,
"11","Dec  2, 2022 15:45:38.727342000 EST",,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.500487000","0.000365000",,,
"12","Dec  2, 2022 15:45:38.737177000 EST","102.0.0.13","172.17.0.10","17","68","54","1","0",,,,"63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34430","67.510322000","0.009835000",,,
"13","Dec  2, 2022 15:45:38.737877000 EST","172.17.0.10","172.16.0.10","17","70","56","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36635","67.511022000","0.000700000",,,
"14","Dec  2, 2022 15:45:38.777679000 EST","172.16.0.10","172.17.0.10","17","107","93","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","67.550824000","0.039802000",,,
"15","Dec  2, 2022 15:45:38.779816000 EST","172.17.0.10","172.16.0.10","17","74","60","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10434","67.552961000","0.002137000",,,
"16","Dec  2, 2022 15:45:38.818169000 EST","172.16.0.10","172.17.0.10","17","160","146","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","67.591314000","0.038353000",,,
