frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"1","Dec  2, 2022 15:44:51.069859000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,,
"2","Dec  2, 2022 15:44:57.955313000 EST",,,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.885454000","6.885454000",,,
"3","Dec  2, 2022 15:45:05.109289000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.039430000","7.153976000",,,
"4","Dec  2, 2022 15:45:19.256975000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.187116000","14.147686000",,,
"5","Dec  2, 2022 15:45:26.675241000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.605382000","7.418266000",,,
"6","Dec  2, 2022 15:45:32.853825000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.783966000","6.178584000",,,
"7","Dec  2, 2022 15:45:38.752483000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.682624000","5.898658000",,,
"8","Dec  2, 2022 15:45:38.752876000 EST",,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.683017000","0.000393000",,,
"9","Dec  2, 2022 15:45:38.762740000 EST","172.17.0.10","172.16.0.10","17","70","56","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36635","47.692881000","0.009864000",,,
"10","Dec  2, 2022 15:45:38.763416000 EST","172.16.0.10","172.17.0.10","17","107","93","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.693557000","0.000676000",,,
"11","Dec  2, 2022 15:45:38.803379000 EST","172.17.0.10","172.16.0.10","17","74","60","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10434","47.733520000","0.039963000",,,
"12","Dec  2, 2022 15:45:38.803860000 EST","172.16.0.10","172.17.0.10","17","160","146","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.734001000","0.000481000",,,
"13","Dec  2, 2022 15:45:38.833831000 EST","172.17.0.10","172.16.0.10","17","87","73","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4603","47.763972000","0.029971000",,,
"14","Dec  2, 2022 15:45:38.833921000 EST","172.17.0.10","172.16.0.10","17","85","71","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20148","47.764062000","0.000090000",,,
"15","Dec  2, 2022 15:45:38.834432000 EST","172.16.0.10","172.17.0.10","17","171","157","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.764573000","0.000511000",,,
"16","Dec  2, 2022 15:45:38.834520000 EST","172.16.0.10","172.17.0.10","17","157","143","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.764661000","0.000088000",,,
"17","Dec  2, 2022 15:45:38.864205000 EST","172.17.0.10","172.16.0.10","17","89","75","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26762","47.794346000","0.029685000",,,
