frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"1","Dec  2, 2022 15:44:51.069570000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,,
"2","Dec  2, 2022 15:44:55.907429000 EST",,,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.837859000","4.837859000",,,
"3","Dec  2, 2022 15:45:05.108955000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.039385000","9.201526000",,,
"4","Dec  2, 2022 15:45:19.256665000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.187095000","14.147710000",,,
"5","Dec  2, 2022 15:45:26.674980000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.605410000","7.418315000",,,
"6","Dec  2, 2022 15:45:32.853521000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.783951000","6.178541000",,,
"7","Dec  2, 2022 15:45:38.924876000 EST","172.17.0.10","172.16.1.10","17","79","65","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25179","47.855306000","6.071355000",,,
"8","Dec  2, 2022 15:45:38.924964000 EST","172.17.0.10","172.16.1.10","17","78","64","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61383","47.855394000","0.000088000",,,
"9","Dec  2, 2022 15:45:38.925691000 EST","172.16.1.10","172.17.0.10","17","147","133","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.856121000","0.000727000",,,
"10","Dec  2, 2022 15:45:38.925741000 EST","172.16.1.10","172.17.0.10","17","110","96","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.856171000","0.000050000",,,
