timestamp,source_ip,destination_ip,domain,resource
1679430242,102.0.0.61,101.0.0.20,wsdvs.com,/
1679430245,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430253,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430288,102.0.0.61,101.0.0.20,cloudapp.net,/
1679430311,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430338,102.0.0.61,101.0.0.20,tapjoy.com,/
1679430375,102.0.0.61,101.0.0.20,agkn.com,/
1679430405,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430405,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430418,102.0.0.61,101.0.0.20,branch.io,/
1679430429,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430448,102.0.0.61,101.0.0.20,quantcount.com,/
1679430506,102.0.0.61,101.0.0.20,sentry.io,/
1679430549,102.0.0.61,101.0.0.20,adsco.re,/
1679430587,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430592,102.0.0.61,101.0.0.10,evil.dne,/resource11.html
1679430592,102.0.0.61,101.0.0.20,msedge.net,/
1679430636,102.0.0.61,101.0.0.20,sfx.ms,/
1679430686,102.0.0.61,101.0.0.20,ring.com,/
1679430743,102.0.0.61,101.0.0.20,ntppool.org,/
1679430780,102.0.0.61,101.0.0.20,espn.com,/
1679430834,102.0.0.61,101.0.0.20,bitdefender.com,/
1679430900,102.0.0.61,101.0.0.20,webex.com,/
1679430945,102.0.0.61,101.0.0.20,amazon-adsystem.com,/
1679431006,102.0.0.61,101.0.0.20,xhamster.com,/
1679431039,102.0.0.61,101.0.0.20,igamecj.com,/
1679431084,102.0.0.61,101.0.0.20,live.net,/
1679431135,102.0.0.61,101.0.0.20,cxense.com,/
1679431173,102.0.0.61,101.0.0.20,adobe.io,/
1679431224,102.0.0.61,101.0.0.20,flurry.com,/
1679431275,102.0.0.61,101.0.0.20,apple-dns.net,/
1679431324,102.0.0.61,101.0.0.20,apple.com,/
1679431358,102.0.0.61,101.0.0.20,braze.com,/
1679431439,102.0.0.61,101.0.0.20,githubusercontent.com,/
1679431492,102.0.0.61,101.0.0.20,githubusercontent.com,/
1679431527,102.0.0.61,101.0.0.20,agkn.com,/
1679431587,102.0.0.61,101.0.0.20,optimizely.com,/
1679431629,102.0.0.61,101.0.0.20,googletagmanager.com,/
1679431683,102.0.0.61,101.0.0.20,grammarly.io,/
1679431723,102.0.0.61,101.0.0.20,segment.io,/
1679431772,102.0.0.61,101.0.0.20,globalsign.com,/
1679431843,102.0.0.61,101.0.0.20,hp.com,/
1679431861,102.0.0.61,101.0.0.20,amazon-adsystem.com,/
1679431919,102.0.0.61,101.0.0.20,onedrive.com,/
1679431972,102.0.0.61,101.0.0.20,gumgum.com,/
1679432001,102.0.0.61,101.0.0.20,samsungcloudsolution.net,/
1679432082,102.0.0.61,101.0.0.20,steamstatic.com,/
1679432110,102.0.0.61,101.0.0.20,smaato.net,/
1679432186,102.0.0.61,101.0.0.20,cxense.com,/
1679432219,102.0.0.61,101.0.0.20,adsafeprotected.com,/
1679432266,102.0.0.61,101.0.0.20,tynt.com,/
1679432323,102.0.0.61,101.0.0.20,pubmatic.com,/
1679432348,102.0.0.61,101.0.0.20,one.one,/
1679432401,102.0.0.61,101.0.0.20,33across.com,/
1679432437,102.0.0.61,101.0.0.20,whatsapp.com,/
1679432506,102.0.0.61,101.0.0.20,cloudflare.com,/
1679432533,102.0.0.61,101.0.0.20,alicdn.com,/
1679432584,102.0.0.61,101.0.0.20,lijit.com,/
1679432648,102.0.0.61,101.0.0.20,discord.com,/
1679432677,102.0.0.61,101.0.0.20,1rx.io,/
1679432728,102.0.0.61,101.0.0.20,conviva.com,/
1679432749,102.0.0.61,101.0.0.20,azureedge.net,/
1679432802,102.0.0.61,101.0.0.20,brave.com,/
1679432863,102.0.0.61,101.0.0.20,xiaomi.net,/
