timestamp,source_ip,destination_ip,domain,resource
1679597354,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597355,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597355,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597355,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597356,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597361,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597361,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597372,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597372,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597372,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597377,102.0.0.23,101.0.0.10,evil.dne,/resource4.html
1679597398,102.0.0.23,101.0.0.20,avcdn.net,/
1679597434,102.0.0.23,101.0.0.20,ipredictive.com,/
1679597474,102.0.0.23,101.0.0.20,hotjar.com,/
1679597533,102.0.0.23,101.0.0.20,pangle.io,/
1679597566,102.0.0.23,101.0.0.20,weather.com,/
1679597638,102.0.0.23,101.0.0.20,adobe.com,/
1679597698,102.0.0.23,101.0.0.20,sitescout.com,/
1679597732,102.0.0.23,101.0.0.20,akaquill.net,/
1679597786,102.0.0.23,101.0.0.20,nflximg.com,/
1679597804,102.0.0.23,101.0.0.20,google.com,/
1679597859,102.0.0.23,101.0.0.20,sc-cdn.net,/
1679597899,102.0.0.23,101.0.0.20,ibytedtos.com,/
1679597926,102.0.0.23,101.0.0.20,redd.it,/
1679597984,102.0.0.23,101.0.0.20,vk.com,/
1679598034,102.0.0.23,101.0.0.20,cloudapp.net,/
1679598077,102.0.0.23,101.0.0.20,hulu.com,/
1679598108,102.0.0.23,101.0.0.20,kwai-pro.com,/
1679598167,102.0.0.23,101.0.0.20,gstatic.com,/
1679598186,102.0.0.23,101.0.0.20,heytapdl.com,/
1679598228,102.0.0.23,101.0.0.20,microsoftonline.com,/
1679598258,102.0.0.23,101.0.0.20,kwai.net,/
1679598301,102.0.0.23,101.0.0.20,sfx.ms,/
1679598339,102.0.0.23,101.0.0.20,root-servers.net,/
1679598392,102.0.0.23,101.0.0.20,heytapdl.com,/
1679598437,102.0.0.23,101.0.0.20,yandex.net,/
1679598483,102.0.0.23,101.0.0.20,nflxvideo.net,/
1679598541,102.0.0.23,101.0.0.20,office.net,/
1679598599,102.0.0.23,101.0.0.20,cloudfunctions.net,/
1679598642,102.0.0.23,101.0.0.20,windows.com,/
1679598703,102.0.0.23,101.0.0.20,accuweather.com,/
1679598761,102.0.0.23,101.0.0.20,brave.com,/
1679598786,102.0.0.23,101.0.0.20,microsoftonline.com,/
1679598819,102.0.0.23,101.0.0.20,4dex.io,/
1679598861,102.0.0.23,101.0.0.20,crashlytics.com,/
1679598909,102.0.0.23,101.0.0.20,a-mo.net,/
1679598944,102.0.0.23,101.0.0.20,pangle.io,/
1679598995,102.0.0.23,101.0.0.20,xvideos-cdn.com,/
1679599025,102.0.0.23,101.0.0.20,surfsharkstatus.com,/
1679599091,102.0.0.23,101.0.0.20,usertrust.com,/
1679599130,102.0.0.23,101.0.0.20,heytapdl.com,/
1679599183,102.0.0.23,101.0.0.20,bitdefender.com,/
1679599211,102.0.0.23,101.0.0.20,godaddy.com,/
1679599259,102.0.0.23,101.0.0.20,office365.com,/
1679599309,102.0.0.23,101.0.0.20,google.de,/
1679599341,102.0.0.23,101.0.0.20,instagram.com,/
