timestamp,source_ip,destination_ip,domain,resource
1679339746,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339762,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339763,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339763,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339763,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339763,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339765,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339768,102.0.0.25,101.0.0.10,evil.dne,/resource4.html
1679339839,102.0.0.25,101.0.0.20,netflix.com,/
1679339934,102.0.0.25,101.0.0.20,epicgames.com,/
1679340066,102.0.0.25,101.0.0.20,example.com,/
1679340092,102.0.0.25,101.0.0.20,tiktokcdn-us.com,/
1679340232,102.0.0.25,101.0.0.20,deepintent.com,/
1679340334,102.0.0.25,101.0.0.20,fbsbx.com,/
1679340415,102.0.0.25,101.0.0.20,vivint.ai,/
1679340497,102.0.0.25,101.0.0.20,digicert.com,/
1679340592,102.0.0.25,101.0.0.20,1rx.io,/
1679340650,102.0.0.25,101.0.0.20,synology.com,/
1679340764,102.0.0.25,101.0.0.20,cos-rd.com,/
1679340816,102.0.0.25,101.0.0.20,safebrowsing.apple,/
1679340919,102.0.0.25,101.0.0.20,yimg.com,/
1679340982,102.0.0.25,101.0.0.20,digicert.com,/
1679341090,102.0.0.25,101.0.0.20,sentry.io,/
1679341127,102.0.0.25,101.0.0.20,miui.com,/
1679341235,102.0.0.25,101.0.0.20,pki.goog,/
1679341310,102.0.0.25,101.0.0.20,licdn.com,/
1679341356,102.0.0.25,101.0.0.20,heytapmobile.com,/
1679341460,102.0.0.25,101.0.0.20,byteoversea.com,/
1679341530,102.0.0.25,101.0.0.20,netgear.com,/
1679341661,102.0.0.25,101.0.0.20,msecnd.net,/
1679341747,102.0.0.25,101.0.0.20,emxdgt.com,/
1679341855,102.0.0.25,101.0.0.20,linkedin.com,/
1679341932,102.0.0.25,101.0.0.20,ntp.org,/
1679342070,102.0.0.25,101.0.0.20,contextweb.com,/
1679342147,102.0.0.25,101.0.0.20,foxnews.com,/
1679342199,102.0.0.25,101.0.0.20,forgeofempires.com,/
1679342275,102.0.0.25,101.0.0.20,tiktokcdn-us.com,/
1679342411,102.0.0.25,101.0.0.20,criteo.net,/
1679342454,102.0.0.25,101.0.0.20,hotjar.com,/
1679342544,102.0.0.25,101.0.0.20,byteoversea.net,/
1679342659,102.0.0.25,101.0.0.20,rbxcdn.com,/
1679342739,102.0.0.25,101.0.0.20,githubusercontent.com,/
1679342862,102.0.0.25,101.0.0.20,atomile.com,/
1679342932,102.0.0.25,101.0.0.20,steampowered.com,/
1679343000,102.0.0.25,101.0.0.20,surfshark.com,/
1679343103,102.0.0.25,101.0.0.20,fwmrm.net,/
1679343178,102.0.0.25,101.0.0.20,outlook.com,/
1679343259,102.0.0.25,101.0.0.20,datadoghq.com,/
1679343329,102.0.0.25,101.0.0.20,joinhoney.com,/
1679343473,102.0.0.25,101.0.0.20,quantummetric.com,/
1679343546,102.0.0.25,101.0.0.20,arin.net,/
1679343610,102.0.0.25,101.0.0.20,gstatic.com,/
1679343732,102.0.0.25,101.0.0.20,forter.com,/
1679343794,102.0.0.25,101.0.0.20,cloudfunctions.net,/
1679343864,102.0.0.25,101.0.0.20,sc-prod.net,/
1679344010,102.0.0.25,101.0.0.20,sectigo.com,/
1679344086,102.0.0.25,101.0.0.20,t.co,/
1679344221,102.0.0.25,101.0.0.20,worldfcdn.com,/
1679344269,102.0.0.25,101.0.0.20,tiktokcdn-us.com,/
1679344355,102.0.0.25,101.0.0.20,yandex.net,/
1679344457,102.0.0.25,101.0.0.20,mathtag.com,/
1679344520,102.0.0.25,101.0.0.20,digicert.com,/
1679344585,102.0.0.25,101.0.0.20,hp.com,/
1679344701,102.0.0.25,101.0.0.20,ibyteimg.com,/
1679344775,102.0.0.25,101.0.0.20,webex.com,/
1679344907,102.0.0.25,101.0.0.20,btloader.com,/
1679344967,102.0.0.25,101.0.0.20,stickyadstv.com,/
1679345068,102.0.0.25,101.0.0.20,aniview.com,/
1679345210,102.0.0.25,101.0.0.20,ytimg.com,/
1679345270,102.0.0.25,101.0.0.20,flurry.com,/
1679345371,102.0.0.25,101.0.0.20,ipredictive.com,/
1679345424,102.0.0.25,101.0.0.20,agkn.com,/
1679345594,102.0.0.25,101.0.0.20,rbxcdn.com,/
1679345649,102.0.0.25,101.0.0.20,redd.it,/
1679345728,102.0.0.25,101.0.0.20,ttoverseaus.net,/
1679345816,102.0.0.25,101.0.0.20,inner-active.mobi,/
