frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,tcp.ack,tcp.seq,tcp.len,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload,dns.qry.name,dns.opt.client.addr4,dns.opt.client.addr6,dns.opt.client.addr
"1","Apr 30, 2023 23:17:20.088411000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,,,,,,
"2","Apr 30, 2023 23:17:20.189813000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.101402000","0.101402000",,,,,,,
"3","Apr 30, 2023 23:17:30.739921000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.651510000","10.550108000",,,,,,,
"4","Apr 30, 2023 23:17:35.126329000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.037918000","4.386408000",,,,,,,
"5","Apr 30, 2023 23:17:44.342123000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.253712000","9.215794000",,,,,,,
"6","Apr 30, 2023 23:17:46.082066000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.993655000","1.739943000",,,,,,,
"7","Apr 30, 2023 23:18:01.223062000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.134651000","15.140996000",,,,,,,
"8","Apr 30, 2023 23:18:02.943776000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.855365000","1.720714000",,,,,,,
"9","Apr 30, 2023 23:18:17.729940000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.641529000","14.786164000",,,,,,,
"10","Apr 30, 2023 23:18:20.371765000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.283354000","2.641825000",,,,,,,
"11","Apr 30, 2023 23:18:21.059352000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.970941000","0.687587000",,,,,,,
"12","Apr 30, 2023 23:18:33.448676000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.360265000","12.389324000",,,,,,,
"13","Apr 30, 2023 23:18:34.857242000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.768831000","1.408566000",,,,,,,
"14","Apr 30, 2023 23:18:49.137382000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89.048971000","14.280140000",,,,,,,
"15","Apr 30, 2023 23:18:51.892118000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91.803707000","2.754736000",,,,,,,
"16","Apr 30, 2023 23:19:03.048684000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102.960273000","11.156566000",,,,,,,
"17","Apr 30, 2023 23:19:09.888404000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109.799993000","6.839720000",,,,,,,
"18","Apr 30, 2023 23:19:11.897250000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111.808839000","2.008846000",,,,,,,
"19","Apr 30, 2023 23:19:12.176157000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.087746000","0.278907000",,,,,,,
"20","Apr 30, 2023 23:19:12.605376000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.516965000","0.429219000",,,,,,,
"21","Apr 30, 2023 23:19:12.633266000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.544855000","0.027890000",,,,,,,
"22","Apr 30, 2023 23:19:12.705198000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.616787000","0.071932000",,,,,,,
"23","Apr 30, 2023 23:19:12.887470000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.799059000","0.182272000",,,,,,,
"24","Apr 30, 2023 23:19:12.887704000 EDT","172.20.0.10","172.20.0.11","17","87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35983","112.799293000","0.000234000",,,,"ns1.rootserver.net",,,
"25","Apr 30, 2023 23:19:12.887763000 EDT","172.20.0.10","172.20.0.11","17","87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45986","112.799352000","0.000059000",,,,"ns1.rootserver.net",,,
"26","Apr 30, 2023 23:19:12.888206000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.799795000","0.000443000",,,,,,,
"27","Apr 30, 2023 23:19:12.888373000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.799962000","0.000167000",,,,,,,
"28","Apr 30, 2023 23:19:12.888489000 EDT","172.20.0.11","172.20.0.10","17","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","112.800078000","0.000116000",,,,"ns1.rootserver.net",,,
"29","Apr 30, 2023 23:19:12.888532000 EDT","172.20.0.11","172.20.0.10","17","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","112.800121000","0.000043000",,,,"ns1.rootserver.net",,,
"30","Apr 30, 2023 23:19:12.889475000 EDT","172.20.0.10","172.20.0.11","17","96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50486","112.801064000","0.000943000",,,,"ns1.tld.net",,,
"31","Apr 30, 2023 23:19:12.890051000 EDT","172.20.0.11","172.20.0.10","17","96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","112.801640000","0.000576000",,,,"ns1.tld.net",,,
"32","Apr 30, 2023 23:19:12.897194000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.808783000","0.007143000",,,,,,,
"33","Apr 30, 2023 23:19:12.929123000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.840712000","0.031929000",,,,,,,
"34","Apr 30, 2023 23:19:13.305326000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.216915000","0.376203000",,,,,,,
"35","Apr 30, 2023 23:19:13.625714000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.537303000","0.320388000",,,,,,,
"36","Apr 30, 2023 23:19:13.729161000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.640750000","0.103447000",,,,,,,
"37","Apr 30, 2023 23:19:13.729315000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.640904000","0.000154000",,,,,,,
"38","Apr 30, 2023 23:19:13.825258000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.736847000","0.095943000",,,,,,,
"39","Apr 30, 2023 23:19:13.825363000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.736952000","0.000105000",,,,,,,
"40","Apr 30, 2023 23:19:13.893238000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.804827000","0.067875000",,,,,,,
"41","Apr 30, 2023 23:19:13.921338000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.832927000","0.028100000",,,,,,,
"42","Apr 30, 2023 23:19:13.921455000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.833044000","0.000117000",,,,,,,
"43","Apr 30, 2023 23:19:14.561162000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.472751000","0.639707000",,,,,,,
"44","Apr 30, 2023 23:19:14.849331000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.760920000","0.288169000",,,,,,,
"45","Apr 30, 2023 23:19:14.849451000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.761040000","0.000120000",,,,,,,
"46","Apr 30, 2023 23:19:14.985304000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.896893000","0.135853000",,,,,,,
"47","Apr 30, 2023 23:19:17.573184000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117.484773000","2.587880000",,,,,,,
"48","Apr 30, 2023 23:19:17.825392000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117.736981000","0.252208000",,,,,,,
"49","Apr 30, 2023 23:19:18.081179000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117.992768000","0.255787000",,,,,,,
"50","Apr 30, 2023 23:19:18.081465000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117.993054000","0.000286000",,,,,,,
"51","Apr 30, 2023 23:19:18.763877000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118.675466000","0.682412000",,,,,,,
"52","Apr 30, 2023 23:19:19.105194000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119.016783000","0.341317000",,,,,,,
"53","Apr 30, 2023 23:19:22.507939000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122.419528000","3.402745000",,,,,,,
"54","Apr 30, 2023 23:19:25.253242000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125.164831000","2.745303000",,,,,,,
"55","Apr 30, 2023 23:19:25.505332000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125.416921000","0.252090000",,,,,,,
"56","Apr 30, 2023 23:19:27.301271000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.212860000","1.795939000",,,,,,,
"57","Apr 30, 2023 23:19:31.667480000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131.579069000","4.366209000",,,,,,,
"58","Apr 30, 2023 23:19:33.447734000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133.359323000","1.780254000",,,,,,,
"59","Apr 30, 2023 23:19:33.448087000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133.359676000","0.000353000",,,,,,,
"60","Apr 30, 2023 23:19:33.457896000 EDT","192.168.150.10","172.20.0.10","17","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54300","133.369485000","0.009809000",,,,"<Root>",,,
"61","Apr 30, 2023 23:19:33.458479000 EDT","172.20.0.10","192.168.150.10","17","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","133.370068000","0.000583000",,,,"<Root>",,,
"62","Apr 30, 2023 23:19:33.498605000 EDT","192.168.150.10","172.20.0.10","17","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33070","133.410194000","0.040126000",,,,"dne",,,
"63","Apr 30, 2023 23:19:33.498683000 EDT","192.168.150.10","172.20.0.10","17","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21509","133.410272000","0.000078000",,,,"net",,,
"64","Apr 30, 2023 23:19:33.499129000 EDT","172.20.0.10","192.168.150.10","17","222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","133.410718000","0.000446000",,,,"net",,,
"65","Apr 30, 2023 23:19:33.499165000 EDT","172.20.0.10","192.168.150.10","17","224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","133.410754000","0.000036000",,,,"dne",,,
"66","Apr 30, 2023 23:19:33.994709000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133.906298000","0.495544000",,,,,,,
"67","Apr 30, 2023 23:19:38.561233000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138.472822000","4.566524000",,,,,,,
"68","Apr 30, 2023 23:19:38.567023000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138.478612000","0.005790000",,,,,,,
"69","Apr 30, 2023 23:19:40.353189000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140.264778000","1.786166000",,,,,,,
"70","Apr 30, 2023 23:19:40.609360000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140.520949000","0.256171000",,,,,,,
"71","Apr 30, 2023 23:19:44.374079000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144.285668000","3.764719000",,,,,,,
"72","Apr 30, 2023 23:19:45.729304000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145.640893000","1.355225000",,,,,,,
"73","Apr 30, 2023 23:19:47.288829000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147.200418000","1.559525000",,,,,,,
"74","Apr 30, 2023 23:19:48.392556000 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148.304145000","1.103727000",,,,,,,
